pressurec2,energy_densityc2,baryon_density,cs2c2
1.123623319000000002e-13,7.757768654999999569e+00,7.757768654999999569e+00,1.694599786036150534e-11
1.123623295000000057e-12,7.817444158999999893e+00,7.817444158999999893e+00,1.592937403292226536e-10
1.123623294999999976e-11,7.857227570000000050e+00,7.857227570000000050e+00,2.752282463704982010e-10
1.123623357000000012e-10,8.105873633999999939e+00,8.105873633999999939e+00,4.035214995975433698e-10
1.346132031000000076e-09,1.153719528000000061e+01,1.153719528000000061e+01,1.455584928617968442e-09
1.557501372000000123e-08,1.631120702000000122e+01,1.631120702000000122e+01,3.424597644247817886e-09
1.891264567000000006e-07,4.485581923000000160e+01,4.485581923000000160e+01,1.074391063706319360e-08
6.474753415000000350e-06,2.108521804000000088e+02,2.108521804000000088e+02,6.532182289642266785e-08
2.113693788999999868e-04,1.143773640999999998e+03,1.143773640999999998e+03,3.049818810639381920e-07
1.084018911999999960e-02,1.038347579000000042e+04,1.038347579000000042e+04,1.773075043274021733e-06
5.526913100999999995e-02,2.607803858000000037e+04,2.607803858000000037e+04,3.578326780579485581e-06
2.704477495000000009e-01,6.551336260999999649e+04,6.551336260999999649e+04,6.808793689985624702e-06
1.280489382000000065e+00,1.645044873000000080e+05,1.645044873000000080e+05,1.253520452141751996e-05
5.858507876000000003e+00,4.133498522000000230e+05,4.133498522000000230e+05,2.223850786249875218e-05
2.578761914000000033e+01,1.038347496000000043e+06,1.038347496000000043e+06,3.781943372429111326e-05
1.085252222000000017e+02,2.607803938000000082e+06,2.607803938000000082e+06,6.127691686266807756e-05
4.350915011000000163e+02,6.552331144999999553e+06,6.552331144999999553e+06,8.674524349742442336e-05
5.850750107000000071e+02,8.248099716000000015e+06,8.248099716000000015e+06,9.438602266404873893e-05
1.596449429999999893e+03,1.646039365000000037e+07,1.646039365000000037e+07,1.364117867652456099e-04
4.264186993000000257e+03,3.284122198999999836e+07,3.284122198999999836e+07,1.792305641691406071e-04
1.119187436999999954e+04,6.553325789999999851e+07,6.553325789999999851e+07,2.321137186134846278e-04
2.897029359000000113e+04,1.307880335999999940e+08,1.307880335999999940e+08,2.976585939845196802e-04
7.427168347000000358e+04,2.609792950000000000e+08,2.609792950000000000e+08,3.421794396346744408e-04
9.721081196000000637e+04,3.286111490000000000e+08,3.286111490000000000e+08,3.646363347493176716e-04
1.812274493000000075e+05,5.208645376999999881e+08,5.208645376999999881e+08,4.656766005656312341e-04
3.369855591000000131e+05,8.256056322999999523e+08,8.256056322999999523e+08,5.472218533110356255e-04
4.593593698999999906e+05,1.039342101000000000e+09,1.039342101000000000e+09,4.848746400046134264e-04
5.602501659000000218e+05,1.308874844000000000e+09,1.308874844000000000e+09,4.735248380409151072e-04
7.631854634000000078e+05,1.648028596000000000e+09,1.648028596000000000e+09,6.186802232069888406e-04
1.415096655000000028e+06,2.611782301000000000e+09,2.611782301000000000e+09,7.197182150177798901e-04
2.621131248000000138e+06,4.141454950000000000e+09,4.141454950000000000e+09,8.396141062794806875e-04
4.852782769000000320e+06,6.565260839000000000e+09,6.565260839000000000e+09,8.790519118329012281e-04
6.298910592000000179e+06,8.266996866000000000e+09,8.266996866000000000e+09,9.440526234515437751e-04
8.568554991000000387e+06,1.040336709000000000e+10,1.040336709000000000e+10,1.097702417606524110e-03
1.165913141999999993e+07,1.310864059000000000e+10,1.310864059000000000e+10,1.184212411559957146e-03
1.585310118999999948e+07,1.650017833000000000e+10,1.650017833000000000e+10,1.278500341340476840e-03
2.156062982999999821e+07,2.078684251000000000e+10,2.078684251000000000e+10,1.259072010764101818e-03
2.784641207000000030e+07,2.616755110000000000e+10,2.616755110000000000e+10,1.305118399121690202e-03
3.786984821999999881e+07,3.295062642000000000e+10,3.295062642000000000e+10,1.529051216621922678e-03
5.148572795000000298e+07,4.149411795000000000e+10,4.149411795000000000e+10,1.492851048242884848e-03
6.618371460999999940e+07,5.225553514000000000e+10,5.225553514000000000e+10,1.538535256024745838e-03
8.999011850000000000e+07,6.581174291000000000e+10,6.581174291000000000e+10,1.819242054171100326e-03
1.223758150000000000e+08,8.286888939000000000e+10,8.286888939000000000e+10,1.964504424812710346e-03
1.663186086999999881e+08,1.043320502000000000e+11,1.043320502000000000e+11,2.116624431586056933e-03
2.261688050999999940e+08,1.314842384000000000e+11,1.314842384000000000e+11,2.044790886007666862e-03
2.889271768999999762e+08,1.654990710000000000e+11,1.654990710000000000e+11,1.836638187607816681e-03
3.217285956000000238e+08,1.834016093000000000e+11,1.834016093000000000e+11,1.804906808314189239e-03
3.660075538999999762e+08,2.084651805000000000e+11,2.084651805000000000e+11,1.977527706561736827e-03
4.976310341000000238e+08,2.625706362000000000e+11,2.625706362000000000e+11,2.326608412427383452e-03
6.470377098999999762e+08,3.306997751000000000e+11,3.306997751000000000e+11,2.230647189466463450e-03
8.683131311000000238e+08,4.275724327000000000e+11,4.275724327000000000e+11,8.303751508626417734e-04
8.777617078999999762e+08,4.435852536000000000e+11,4.435852536000000000e+11,6.044222039686551924e-04
9.291619480000000000e+08,5.199694463000000000e+11,5.199694463000000000e+11,6.482143879831026067e-04
1.012150107000000000e+09,6.574211932000000000e+11,6.574211932000000000e+11,6.046973078849820094e-04
1.093706213000000000e+09,7.920881059000000000e+11,7.920881059000000000e+11,6.177001070548351555e-04
1.204841177000000000e+09,9.675329992000000000e+11,9.675329992000000000e+11,6.524623871649243897e-04
1.355023618000000000e+09,1.189524548000000000e+12,1.189524548000000000e+12,7.032673618962079209e-04
1.556387501000000000e+09,1.463035679000000000e+12,1.463035679000000000e+12,7.766773975428674717e-04
1.401925889000000000e+10,8.384686995000000000e+12,8.384686995000000000e+12,1.785774109464009426e-03
2.887077952000000000e+10,1.678570459000000000e+13,1.678570459000000000e+13,2.273585791033057475e-03
5.225510389000000000e+10,2.519736710000000000e+13,2.519736710000000000e+13,3.078608198549280354e-03
8.069566121000000000e+10,3.361785821000000000e+13,3.361785821000000000e+13,3.622298561610640729e-03
1.132898211000000000e+11,4.204604661000000000e+13,4.206546472000000000e+13,4.309817305838246730e-03
1.202708335000000000e+11,4.363507721000000000e+13,4.368626540000000000e+13,5.162033224305727537e-03
1.242190995000000000e+11,4.435179874000000000e+13,4.440185533000000000e+13,5.541495298993819735e-03
1.282969798000000000e+11,4.508327320000000000e+13,4.513210979000000000e+13,5.608117942193836976e-03
1.325087292000000000e+11,4.582976711000000000e+13,4.587729116000000000e+13,5.678390041478189113e-03
1.368587425000000000e+11,4.659086437000000000e+13,4.663698022000000000e+13,5.756312693357830759e-03
1.413515585000000000e+11,4.736576617000000000e+13,4.741037579000000000e+13,5.843517164414495368e-03
1.459918652000000000e+11,4.815361027000000000e+13,4.819661352000000000e+13,5.939055181632029237e-03
1.507845046000000000e+11,4.895384998000000000e+13,4.899514416000000000e+13,6.039517747648989916e-03
1.557344773000000000e+11,4.976654436000000000e+13,4.980602295000000000e+13,6.139568314147006781e-03
1.608469483000000000e+11,5.059258598000000000e+13,5.063013674000000000e+13,6.232532444332346787e-03
1.661272522000000000e+11,5.143383490000000000e+13,5.146933716000000000e+13,6.311468555493518137e-03
1.715808986000000000e+11,5.229309137000000000e+13,5.232641317000000000e+13,6.370294176779749129e-03
1.772135779000000000e+11,5.317399032000000000e+13,5.320498526000000000e+13,6.404797895902343899e-03
1.830311676000000000e+11,5.408076909000000000e+13,5.410927354000000000e+13,6.413574094511194888e-03
1.890397378000000000e+11,5.501793708000000000e+13,5.504376796000000000e+13,6.398483642242011257e-03
1.952455581000000000e+11,5.598986296000000000e+13,5.601281663000000000e+13,6.364601694096326534e-03
2.016551039000000000e+11,5.700030378000000000e+13,5.702015632000000000e+13,6.319796412817074716e-03
2.082750630000000000e+11,5.805187225000000000e+13,5.806838159000000000e+13,6.274021166005776251e-03
2.151123430000000000e+11,5.914550963000000000e+13,5.915841985000000000e+13,6.238356168129588833e-03
2.221740781000000000e+11,6.028004597000000000e+13,6.028909379000000000e+13,6.224219938646758862e-03
2.294676367000000000e+11,6.145187133000000000e+13,6.145679452000000000e+13,6.242751714643704833e-03
2.370006292000000000e+11,6.265485981000000000e+13,6.265540712000000000e+13,6.304280570899781222e-03
2.447809157000000000e+11,6.388059144000000000e+13,6.387653288000000000e+13,6.418236383083881363e-03
2.528166144000000000e+11,6.511880908000000000e+13,6.510994570000000000e+13,6.593208335824577056e-03
2.611161101000000000e+11,6.635813560000000000e+13,6.634430761000000000e+13,6.836747056252362800e-03
2.696880626000000000e+11,6.758699544000000000e+13,6.756808729000000000e+13,7.155212211366773246e-03
2.785414163000000000e+11,6.879452789000000000e+13,6.877046992000000000e+13,7.553564356610942623e-03
2.876854090000000000e+11,6.997140261000000000e+13,6.994216888000000000e+13,8.034738918974066585e-03
2.971295819000000000e+11,7.111045742000000000e+13,7.107606002000000000e+13,8.598808761313952304e-03
