pressurec2,energy_densityc2,baryon_density,cs2c2
3.842292429000000266e+04,1.659182799000000060e+08,1.659182799000000060e+08,3.148125158036290641e-04
4.018014095000000088e+04,1.715000676999999881e+08,1.715000676999999881e+08,3.166551632195566818e-04
4.201813378999999986e+04,1.772697618000000119e+08,1.772697618000000119e+08,3.205400496440206286e-04
4.394196405999999843e+04,1.832335206999999881e+08,1.832335206999999881e+08,3.241726199835808712e-04
4.595037692000000243e+04,1.893978566999999881e+08,1.893978566999999881e+08,3.273752621205583066e-04
4.804662481000000116e+04,1.957695970000000000e+08,1.957695970000000000e+08,3.310664938541184928e-04
5.024124437000000034e+04,2.023558643000000119e+08,2.023558643000000119e+08,3.352629572921504058e-04
5.253810257999999885e+04,2.091637200000000000e+08,2.091637200000000000e+08,3.385765624544553442e-04
5.492923232999999891e+04,2.162003925999999940e+08,2.162003925999999940e+08,3.420982283507378310e-04
5.743471600999999646e+04,2.234739690999999940e+08,2.234739690999999940e+08,3.463146662748883072e-04
6.005284032000000298e+04,2.309923920999999940e+08,2.309923920999999940e+08,3.498060777567323998e-04
6.278392035999999644e+04,2.387635638000000119e+08,2.387635638000000119e+08,3.536526279829369001e-04
6.564315700000000652e+04,2.467964249000000060e+08,2.467964249000000060e+08,3.579299298876285353e-04
6.863208823999999731e+04,2.550993764000000060e+08,2.550993764000000060e+08,3.615868483318569141e-04
7.174964286999999604e+04,2.636819245000000000e+08,2.636819245000000000e+08,3.655809866436833186e-04
7.501416882999999507e+04,2.725529895000000000e+08,2.725529895000000000e+08,3.696295555553663669e-04
7.841899838000000454e+04,2.817225933000000119e+08,2.817225933000000119e+08,3.735277356299533452e-04
8.198101112999999896e+04,2.912007481999999881e+08,2.912007481999999881e+08,3.778789523671935197e-04
8.570404059999999299e+04,3.009978193999999762e+08,3.009978193999999762e+08,3.816507546954011503e-04
8.958606708999999682e+04,3.111246150000000000e+08,3.111246150000000000e+08,3.857405344623273985e-04
9.364971206999999413e+04,3.215919998999999762e+08,3.215919998999999762e+08,3.901768791779652379e-04
9.789323613999999361e+04,3.324117973000000119e+08,3.324117973000000119e+08,3.944802887750089551e-04
1.023313482999999978e+05,3.435955040000000000e+08,3.435955040000000000e+08,3.986467365458942671e-04
1.069613105999999971e+05,3.551554676000000238e+08,3.551554676000000238e+08,4.030421696837858427e-04
1.118084557999999961e+05,3.671044823000000119e+08,3.671044823000000119e+08,4.074318002279028045e-04
1.168633687999999966e+05,3.794554938000000119e+08,3.794554938000000119e+08,4.119191072701952876e-04
1.221571894999999931e+05,3.922222655000000000e+08,3.922222655000000000e+08,4.164004716913375032e-04
1.276758950000000041e+05,4.054184875000000000e+08,4.054184875000000000e+08,4.205364322902348587e-04
1.334450309999999881e+05,4.190587860000000000e+08,4.190587860000000000e+08,4.250760661176740873e-04
1.394692944999999891e+05,4.331580245000000000e+08,4.331580245000000000e+08,4.301659597636594288e-04
1.457819277000000002e+05,4.477316921999999881e+08,4.477316921999999881e+08,4.345080043104386242e-04
1.523484256999999925e+05,4.627956386000000238e+08,4.627956386000000238e+08,4.391312740000715949e-04
1.592380033999999869e+05,4.783666141999999881e+08,4.783666141999999881e+08,4.437775837807678841e-04
